Key Values,LineNumber,SourceName,M_NB,M_QTY_INDEX,M_TP_BUY,CURRENCY,INSTRUMENT,TRN_STATUS,TRN_FMLY,TRN_GRP,TRN_TYPE,PORTFOLIO,M_PL_CGR2,M_PL_CGRA2,M_PL_CGU2,M_PL_CGUA2,M_PL_CSFCP2,M_PL_CSFI2,M_PL_CSFR2,M_PL_CSFRV2,M_PL_CSNF2,M_PL_CSNFCP2,M_PL_CSNFR2,M_PL_CSNFRV2,M_PL_FE2,M_PL_FEFI2,M_PL_FMV2,M_PL_FMVCL2,M_PL_FPFCP2,M_PL_FPFRV2,M_PL_FPNFCP2,M_PL_FPNFRV2,M_PL_FTFI2,M_PL_INSCUR,M_PL_KEY1,M_PL_MVFCP2,M_PL_MVFRV2,M_PL_MVNFCP2,M_PL_MVNFRV2,M_PL_NFMV2,M_PL_NFMVCL2,M_PL_RVR2,M_PL_RVRA2,M_PL_RVU2,M_PL_RVUA2,M_PLIRDACC12,M_PLIRDACC22,M_PLIRDACS12,M_PLIRDACS22,M_PLIRDCUR1,M_PLIRDCUR2,M_PLIRDFPV12,M_PLIRDFPV22,M_RSKSECTION,M_TP_TYPE
66876424,11,MX 2.1,66876424,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,378630.2806,378630.2806,0,0,0,0,0,0,0,0,-6244.04,-21.102361,378428.0858,378428.0858,0,0,0,0,-202.194772,CN1,30spaces,378428.0858,0,378630.2806,0,378630.2806,378630.2806,0,0,0,0,-192164.38,214792.42,-192164.38,214792.42,CN1,CN1,-7669449.67,8047877.75,20spaces,11spaces
66876424,11,MX 3.1,66876424,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,378630.2806,378630.2806,0,0,0,0,0,0,0,0,-5734.04,-19.411449,378428.0858,0,0,0,0,0,-202.194772,CN1,30spaces,378428.0858,0,378630.2806,0,378630.2806,0,0,0,0,0,-192164.38,214792.42,-192164.38,214792.42,CN1,CN1,-7669449.67,8047877.75,20spaces,11spaces
66876666,37,MX 2.1,66876666,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,-714698.0854,-714698.0854,0,0,0,0,0,0,0,0,-1210,-4.011772,-714316.4249,-714316.4249,0,0,0,0,381.660484,CN1,30spaces,-714316.4249,0,-714698.0854,0,-714698.0854,-714698.0854,0,0,0,0,717452.05,-859169.66,717452.05,-859169.66,CN1,CN1,6122589.29,-6836905.71,20spaces,11spaces
66876666,37,MX 3.1,66876666,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,-714698.0854,-714698.0854,0,0,0,0,0,0,0,0,0,0,-714316.4249,0,0,0,0,0,381.660484,CN1,30spaces,-714316.4249,0,-714698.0854,0,-714698.0854,0,0,0,0,0,717452.05,-859169.66,717452.05,-859169.66,CN1,CN1,6122589.29,-6836905.71,20spaces,11spaces
67228911,50,MX 2.1,67228911,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD KT,0,0,591332.2877,591332.2877,0,0,0,0,0,0,0,0,-2618.8,-6.588584,591016.5066,591016.5066,0,0,0,0,-315.781127,CN1,30spaces,591016.5066,0,591332.2877,0,591332.2877,591332.2877,0,0,0,0,-75945.21,100229.72,-75945.21,100229.72,CN1,CN1,-4238626.95,4829643.45,20spaces,11spaces
67228911,50,MX 3.1,67228911,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD KT,0,0,591332.2877,591332.2877,0,0,0,0,0,0,0,0,-2308.8,-5.828799,591016.5066,0,0,0,0,0,-315.781127,CN1,30spaces,591016.5066,0,591332.2877,0,591332.2877,0,0,0,0,0,-75945.21,100229.72,-75945.21,100229.72,CN1,CN1,-4238626.95,4829643.45,20spaces,11spaces
67190578,57,MX 2.1,67190578,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,-3346897.122,-3346897.122,0,0,0,0,0,0,0,0,-4006,-11.274781,-3345109.824,-3345109.824,0,0,0,0,1787.297884,CN1,30spaces,-3345109.824,0,-3346897.122,0,-3346897.122,-3346897.122,0,0,0,0,1839254.79,-2452088.8,1839254.79,-2452088.8,CN1,CN1,14136741.64,-17481851.46,20spaces,11spaces
67190578,57,MX 3.1,67190578,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,-3346897.122,-3346897.122,0,0,0,0,0,0,0,0,0,0,-3345109.824,0,0,0,0,0,1787.297884,CN1,30spaces,-3345109.824,0,-3346897.122,0,-3346897.122,0,0,0,0,0,1839254.79,-2452088.8,1839254.79,-2452088.8,CN1,CN1,14136741.64,-17481851.46,20spaces,11spaces
67190577,56,MX 2.1,67190577,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,2921018.424,2921018.424,0,0,0,0,0,0,0,0,-3010,-8.471565,2919458.553,2919458.553,0,0,0,0,-1559.871683,CN1,30spaces,2919458.553,0,2921018.424,0,2921018.424,2921018.424,0,0,0,0,-1383219.18,1840907.51,-1383219.18,1840907.51,CN1,CN1,-14156075.4,17075533.95,20spaces,11spaces
67190577,56,MX 3.1,67190577,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,2921018.424,2921018.424,0,0,0,0,0,0,0,0,0,0,2919458.553,0,0,0,0,0,-1559.871683,CN1,30spaces,2919458.553,0,2921018.424,0,2921018.424,0,0,0,0,0,-1383219.18,1840907.51,-1383219.18,1840907.51,CN1,CN1,-14156075.4,17075533.95,20spaces,11spaces
67228916,52,MX 2.1,67228916,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD KT,0,0,605101.4165,605101.4165,0,0,0,0,0,0,0,0,-3774.08,-9.505205,604778.2824,604778.2824,0,0,0,0,-323.134068,CN1,30spaces,604778.2824,0,605101.4165,0,605101.4165,605101.4165,0,0,0,0,-75698.63,100229.72,-75698.63,100229.72,CN1,CN1,-4224865.17,4829643.45,20spaces,11spaces
