Key Values_;_LineNumber_;_SourceName_;_M_NB_;_M_QTY_INDEX_;_M_TP_BUY_;_CURRENCY_;_INSTRUMENT_;_TRN_STATUS_;_TRN_FMLY_;_TRN_GRP_;_TRN_TYPE_;_PORTFOLIO_;_M_PL_CGR2_;_M_PL_CGRA2_;_M_PL_CGU2_;_M_PL_CGUA2_;_M_PL_CSFCP2_;_M_PL_CSFI2_;_M_PL_CSFR2_;_M_PL_CSFRV2_;_M_PL_CSNF2_;_M_PL_CSNFCP2_;_M_PL_CSNFR2_;_M_PL_CSNFRV2_;_M_PL_FE2_;_M_PL_FEFI2_;_M_PL_FMV2_;_M_PL_FMVCL2_;_M_PL_FPFCP2_;_M_PL_FPFRV2_;_M_PL_FPNFCP2_;_M_PL_FPNFRV2_;_M_PL_FTFI2_;_M_PL_INSCUR_;_M_PL_KEY1_;_M_PL_MVFCP2_;_M_PL_MVFRV2_;_M_PL_MVNFCP2_;_M_PL_MVNFRV2_;_M_PL_NFMV2_;_M_PL_NFMVCL2_;_M_PL_RVR2_;_M_PL_RVRA2_;_M_PL_RVU2_;_M_PL_RVUA2_;_M_PLIRDACC12_;_M_PLIRDACC22_;_M_PLIRDACS12_;_M_PLIRDACS22_;_M_PLIRDCUR1_;_M_PLIRDCUR2_;_M_PLIRDFPV12_;_M_PLIRDFPV22_;_M_RSKSECTION_;_M_TP_TYPE
66876424_;_10_;_MX 2.1_;_66876424_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_378630.2806_;_378630.2806_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-6244.04_;_-21.102361_;_378428.0858_;_378428.0858_;_0_;_0_;_0_;_0_;_-202.194772_;_CN1_;_30spaces_;_378428.0858_;_0_;_378630.2806_;_0_;_378630.2806_;_378630.2806_;_0_;_0_;_0_;_0_;_-192164.38_;_214792.42_;_-192164.38_;_214792.42_;_CN1_;_CN1_;_-7669449.67_;_8047877.75_;_20spaces_;_11spaces_;_ 
66876424_;_10_;_MX 3.1_;_66876424_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_378630.2806_;_378630.2806_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-5734.04_;_-19.411449_;_378428.0858_;_0_;_0_;_0_;_0_;_0_;_-202.194772_;_CN1_;_30spaces_;_378428.0858_;_0_;_378630.2806_;_0_;_378630.2806_;_0_;_0_;_0_;_0_;_0_;_-192164.38_;_214792.42_;_-192164.38_;_214792.42_;_CN1_;_CN1_;_-7669449.67_;_8047877.75_;_20spaces_;_11spaces_;_ 
67228911_;_36_;_MX 2.1_;_67228911_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_591332.2877_;_591332.2877_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-2618.8_;_-6.588584_;_591016.5066_;_591016.5066_;_0_;_0_;_0_;_0_;_-315.781127_;_CN1_;_30spaces_;_591016.5066_;_0_;_591332.2877_;_0_;_591332.2877_;_591332.2877_;_0_;_0_;_0_;_0_;_-75945.21_;_100229.72_;_-75945.21_;_100229.72_;_CN1_;_CN1_;_-4238626.95_;_4829643.45_;_20spaces_;_11spaces_;_ 
67228911_;_36_;_MX 3.1_;_67228911_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_591332.2877_;_591332.2877_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-2308.8_;_-5.828799_;_591016.5066_;_0_;_0_;_0_;_0_;_0_;_-315.781127_;_CN1_;_30spaces_;_591016.5066_;_0_;_591332.2877_;_0_;_591332.2877_;_0_;_0_;_0_;_0_;_0_;_-75945.21_;_100229.72_;_-75945.21_;_100229.72_;_CN1_;_CN1_;_-4238626.95_;_4829643.45_;_20spaces_;_11spaces_;_ 
67228916_;_38_;_MX 2.1_;_67228916_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_605101.4165_;_605101.4165_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-3774.08_;_-9.505205_;_604778.2824_;_604778.2824_;_0_;_0_;_0_;_0_;_-323.134068_;_CN1_;_30spaces_;_604778.2824_;_0_;_605101.4165_;_0_;_605101.4165_;_605101.4165_;_0_;_0_;_0_;_0_;_-75698.63_;_100229.72_;_-75698.63_;_100229.72_;_CN1_;_CN1_;_-4224865.17_;_4829643.45_;_20spaces_;_11spaces_;_ 
67228916_;_38_;_MX 3.1_;_67228916_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_605101.4165_;_605101.4165_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-3464.08_;_-8.74542_;_604778.2824_;_0_;_0_;_0_;_0_;_0_;_-323.134068_;_CN1_;_30spaces_;_604778.2824_;_0_;_605101.4165_;_0_;_605101.4165_;_0_;_0_;_0_;_0_;_0_;_-75698.63_;_100229.72_;_-75698.63_;_100229.72_;_CN1_;_CN1_;_-4224865.17_;_4829643.45_;_20spaces_;_11spaces_;_ 
67387218_;_76_;_MX 2.1_;_67387218_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_240586.6415_;_240586.6415_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-610_;_-1.226871_;_240458.1643_;_240458.1643_;_0_;_0_;_0_;_0_;_-128.477207_;_CN1_;_30spaces_;_240458.1643_;_0_;_240586.6415_;_0_;_240586.6415_;_240586.6415_;_0_;_0_;_0_;_0_;_-215013.7_;_292415.31_;_-215013.7_;_292415.31_;_CN1_;_CN1_;_-2416299.51_;_2656757.68_;_20spaces_;_11spaces_;_ 
67387218_;_76_;_MX 3.1_;_67387218_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_240586.6415_;_240586.6415_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_240458.1643_;_0_;_0_;_0_;_0_;_0_;_-128.477207_;_CN1_;_30spaces_;_240458.1643_;_0_;_240586.6415_;_0_;_240586.6415_;_0_;_0_;_0_;_0_;_0_;_-215013.7_;_292415.31_;_-215013.7_;_292415.31_;_CN1_;_CN1_;_-2416299.51_;_2656757.68_;_20spaces_;_11spaces_;_ 
66876386_;_6_;_MX 2.1_;_66876386_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD NH_;_0_;_0_;_165236.9281_;_165236.9281_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-2504.49_;_-8.463796_;_165148.6888_;_165148.6888_;_0_;_0_;_0_;_0_;_-88.239226_;_CN1_;_30spaces_;_165148.6888_;_0_;_165236.9281_;_0_;_165236.9281_;_165236.9281_;_0_;_0_;_0_;_0_;_-76520.55_;_85916.97_;_-76520.55_;_85916.97_;_CN1_;_CN1_;_-3054002.41_;_3219151.1_;_20spaces_;_11spaces_;_ 
66876386_;_6_;_MX 3.1_;_66876386_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD NH_;_0_;_0_;_165236.9281_;_165236.9281_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-2294.49_;_-7.767538_;_165148.6888_;_0_;_0_;_0_;_0_;_0_;_-88.239226_;_CN1_;_30spaces_;_165148.6888_;_0_;_165236.9281_;_0_;_165236.9281_;_0_;_0_;_0_;_0_;_0_;_-76520.55_;_85916.97_;_-76520.55_;_85916.97_;_CN1_;_CN1_;_-3054002.41_;_3219151.1_;_20spaces_;_11spaces_;_ 
67228914_;_37_;_MX 2.1_;_67228914_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_-591332.2877_;_-591332.2877_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-310_;_-0.759785_;_-591016.5066_;_-591016.5066_;_0_;_0_;_0_;_0_;_315.781127_;_CN1_;_30spaces_;_-591016.5066_;_0_;_-591332.2877_;_0_;_-591332.2877_;_-591332.2877_;_0_;_0_;_0_;_0_;_75945.21_;_-100229.72_;_75945.21_;_-100229.72_;_CN1_;_CN1_;_4238626.95_;_-4829643.45_;_20spaces_;_11spaces_;_ 
67228914_;_37_;_MX 3.1_;_67228914_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_-591332.2877_;_-591332.2877_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-591016.5066_;_0_;_0_;_0_;_0_;_0_;_315.781127_;_CN1_;_30spaces_;_-591016.5066_;_0_;_-591332.2877_;_0_;_-591332.2877_;_0_;_0_;_0_;_0_;_0_;_75945.21_;_-100229.72_;_75945.21_;_-100229.72_;_CN1_;_CN1_;_4238626.95_;_-4829643.45_;_20spaces_;_11spaces_;_ 
67026166_;_49_;_MX 2.1_;_67026166_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-223982.1351_;_-223982.1351_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-3749.55_;_-12.099369_;_-223862.525_;_-223862.525_;_0_;_0_;_0_;_0_;_119.610129_;_CN1_;_30spaces_;_-223862.525_;_0_;_-223982.1351_;_0_;_-223982.1351_;_-223982.1351_;_0_;_0_;_0_;_0_;_104630.14_;_-127841.18_;_104630.14_;_-127841.18_;_CN1_;_CN1_;_4616000.73_;_-4839863.25_;_20spaces_;_11spaces_;_ 
